variants,SampleType,Animal,kidney,liver,lung,input_norm
cN030,gDNA,m1,0.044333956202043806,88667.95673804382,44334.00053600001,2.255607407204277e-05
cN031,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN032,gDNA,m1,44334.00053600001,44334044870.00054,44334044870.00054,2.2556051515991252e-11
cN033,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN034,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN035,gDNA,m1,44334044870.00054,44334044870.00054,88668045406.00056,2.2556051515991252e-11
cN036,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN037,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN038,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN039,gDNA,m1,0.044333956202043806,44334.00053600001,44334.00053600001,2.255607407204277e-05
cN040,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN041,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN042,gDNA,m1,44334044870.00054,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN043,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN044,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN045,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN046,gDNA,m1,0.044333956202043806,44334.00053600001,88667.95673804382,2.255607407204277e-05
cN047,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN048,gDNA,m1,44334.00053600001,88667.95673804382,44334.00053600001,2.255607407204277e-05
cN049,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN050,gDNA,m1,44334.00053600001,44334044870.00054,44334044870.00054,2.2556051515991252e-11
cN051,gDNA,m1,43364.27692136682,43267.3045599035,42332.843622166074,0.11343438309647608
cN052,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN053,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN054,gDNA,m1,44334.00053600001,44334044870.00054,44334044870.00054,2.2556051515991252e-11
cN055,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN056,gDNA,m1,44334.00053600001,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN057,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN058,gDNA,m1,14778.010030663501,14778.010030663501,14778.010030663501,6.766817710402528e-05
cN059,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN060,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN061,gDNA,m1,44334.00053600001,44334.00053600001,88667.95673804382,2.255607407204277e-05
cN062,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN063,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN064,gDNA,m1,44334044870.00054,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN065,gDNA,m1,44334.00053600001,44334.00053600001,110834.96808951623,4.511212558803403e-05
cN066,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN067,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN068,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN069,gDNA,m1,88668045406.00056,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN070,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN071,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN072,gDNA,m1,49875.74991028133,16625.25366459336,11083.504290312034,0.00018044843468398154
cN073,gDNA,m1,66500.98972050541,0.022166989184505406,0.022166989184505406,4.511212558803403e-05
cN074,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN075,gDNA,m1,44334.00053600001,0.022166989184505406,22167.01135149459,4.511212558803403e-05
cN076,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN077,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN078,gDNA,m1,22167.01135149459,22167.01135149459,22167.01135149459,4.511212558803403e-05
cN079,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN080,gDNA,m1,88668045406.00056,88668045406.00056,133002045942.00056,2.2556051515991252e-11
cN081,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN082,gDNA,m1,0.044333956202043806,0.044333956202043806,44334.00053600001,2.255607407204277e-05
cN083,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN084,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN085,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN086,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN087,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN088,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN089,gDNA,m1,44334.00053600001,0.044333956202043806,133001.9129400876,2.255607407204277e-05
cN090,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN091,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN092,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN093,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN094,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN095,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN096,gDNA,m1,133002045942.00056,44334044870.00054,44334044870.00054,2.2556051515991252e-11
cN097,gDNA,m1,44334.00053600001,0.044333956202043806,44334.00053600001,2.255607407204277e-05
cN098,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN099,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN100,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN101,gDNA,m1,110834.96808951623,88667.97890501082,44334.00053600001,4.511212558803403e-05
cN102,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN103,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN104,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN105,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN106,gDNA,m1,44334.00053600001,44334.00053600001,88668045406.00056,2.2556051515991252e-11
cN107,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN108,gDNA,m1,0.044333956202043806,0.044333956202043806,133001.9129400876,2.255607407204277e-05
cN109,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN110,gDNA,m1,44334044870.00054,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN111,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN112,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN113,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN114,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN115,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN116,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN117,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN118,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN119,gDNA,m1,0.044333956202043806,0.044333956202043806,44334.00053600001,2.255607407204277e-05
cN120,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN121,gDNA,m1,44334.00053600001,22167.01135149459,44334.00053600001,4.511212558803403e-05
cN122,gDNA,m1,44334.00053600001,0.044333956202043806,88667.95673804382,2.255607407204277e-05
